iter	Passed	Remaining
0	58	58731
1	59	29461
2	59	19702
3	59	14820
4	59	11891
5	59	9937
6	60	8540
7	60	7496
8	60	6689
9	60	6037
10	61	5503
11	61	5056
12	61	4680
13	61	4358
14	62	4077
15	62	3831
16	62	3615
17	62	3422
18	62	3250
19	63	3095
20	63	2955
21	63	2832
22	63	2715
23	64	2608
24	64	2510
25	64	2419
26	64	2335
27	65	2257
28	65	2184
29	65	2116
30	65	2052
31	65	1992
32	66	1936
33	66	1884
34	66	1834
35	66	1787
36	66	1743
37	67	1703
38	67	1662
39	67	1624
40	67	1588
41	68	1555
42	68	1524
43	68	1493
44	68	1462
45	69	1434
46	69	1407
47	69	1380
48	69	1355
49	70	1330
50	70	1306
51	70	1284
52	70	1262
53	70	1241
54	71	1221
55	71	1203
56	71	1184
57	71	1166
58	72	1150
59	72	1133
60	72	1116
61	72	1100
62	72	1085
63	73	1070
64	73	1055
65	73	1041
66	73	1027
67	73	1012
68	74	999
69	74	986
70	74	974
71	74	962
72	74	950
73	75	939
74	75	928
75	75	917
76	75	907
77	76	898
78	76	888
79	76	878
80	76	869
81	76	860
82	77	850
83	77	841
84	77	832
85	77	824
86	77	815
87	77	807
88	78	800
89	78	792
90	78	784
91	78	777
92	78	769
93	79	762
94	79	756
95	79	749
96	79	742
97	79	736
98	80	730
99	80	724
100	80	718
101	80	710
102	80	705
103	81	699
104	81	693
105	81	688
106	81	682
107	81	676
108	82	671
109	82	666
110	82	660
111	82	655
112	82	650
113	83	646
114	83	641
115	83	637
116	83	632
117	84	628
118	84	623
119	84	618
120	84	614
121	84	610
122	84	605
123	85	601
124	85	597
125	85	593
126	85	589
127	85	584
128	86	580
129	86	577
130	86	573
131	86	569
132	86	566
133	87	562
134	87	559
135	87	555
136	87	551
137	87	548
138	87	544
139	88	541
140	88	537
141	88	534
142	88	531
143	88	528
144	89	525
145	89	521
146	89	518
147	89	515
148	89	512
149	89	509
150	90	506
151	90	504
152	90	501
153	90	498
154	90	495
155	91	492
156	91	490
157	91	487
158	91	484
159	91	482
160	92	479
161	92	477
162	92	474
163	92	472
164	92	469
165	93	467
166	93	465
167	93	462
168	93	461
169	93	458
170	94	456
171	94	454
172	94	452
173	94	450
174	95	448
175	95	445
176	95	443
177	95	441
178	95	439
179	95	437
180	96	434
181	96	432
182	96	430
183	96	428
184	96	426
185	96	424
186	97	422
187	97	420
188	97	418
189	97	416
190	97	414
191	98	413
192	98	411
193	98	409
194	98	407
195	98	405
196	99	404
197	99	402
198	99	400
199	99	398
200	99	396
201	100	395
202	100	393
203	100	391
204	100	390
205	100	388
206	100	386
207	101	385
208	101	383
209	101	382
210	101	380
211	102	379
212	103	380
213	103	379
214	103	377
215	103	376
216	103	374
217	103	372
218	104	371
219	104	370
220	104	368
221	104	367
222	104	365
223	105	364
224	105	362
225	105	361
226	105	360
227	105	358
228	106	357
229	106	356
230	106	354
231	106	353
232	106	352
233	107	350
234	107	349
235	107	348
236	107	346
237	107	345
238	108	344
239	108	342
240	108	341
241	108	340
242	108	339
243	109	337
244	109	336
245	109	335
246	109	334
247	109	333
248	110	331
249	110	330
250	110	329
251	110	328
252	110	327
253	111	326
254	111	324
255	111	323
256	111	322
257	111	321
258	112	320
259	112	319
260	112	318
261	112	317
262	112	316
263	112	315
264	113	313
265	113	312
266	113	311
267	113	310
268	114	309
269	114	308
270	114	307
271	114	306
272	114	305
273	114	304
274	115	303
275	115	302
276	115	301
277	115	300
278	115	299
279	116	298
280	116	297
281	116	296
282	116	295
283	116	294
284	117	293
285	117	292
286	117	292
287	117	291
288	117	290
289	118	289
290	118	288
291	118	287
292	118	286
293	119	285
294	119	284
295	119	283
296	119	283
297	119	282
298	120	281
299	120	280
300	120	279
301	120	278
302	120	277
303	121	277
304	121	276
305	121	275
306	121	274
307	121	273
308	122	274
309	122	273
310	122	272
311	123	271
312	123	270
313	123	269
314	123	269
315	123	268
316	124	267
317	124	266
318	124	265
319	124	265
320	124	264
321	125	263
322	125	262
323	125	261
324	125	261
325	125	260
326	126	259
327	126	258
328	126	258
329	126	257
330	126	256
331	127	255
332	127	254
333	127	254
334	127	253
335	127	252
336	128	252
337	128	251
338	128	250
339	128	249
340	128	249
341	129	248
342	129	247
343	129	246
344	129	246
345	129	245
346	130	245
347	130	244
348	130	243
349	130	242
350	131	242
351	131	241
352	131	240
353	131	240
354	131	239
355	132	238
356	132	238
357	132	237
358	132	236
359	132	236
360	132	235
361	133	234
362	133	234
363	133	233
364	133	232
365	134	232
366	134	231
367	134	230
368	134	230
369	134	229
370	135	228
371	135	228
372	135	227
373	135	227
374	135	226
375	136	225
376	136	225
377	136	224
378	136	223
379	136	223
380	136	222
381	137	221
382	137	221
383	137	220
384	137	220
385	137	219
386	138	218
387	138	218
388	138	217
389	138	217
390	138	216
391	139	215
392	139	215
393	139	214
394	139	214
395	139	213
396	140	212
397	140	212
398	140	211
399	140	211
400	140	210
401	141	209
402	141	209
403	141	208
404	141	208
405	141	207
406	142	207
407	142	206
408	142	205
409	142	205
410	142	204
411	143	204
412	143	203
413	143	203
414	143	202
415	143	201
416	144	201
417	144	200
418	144	200
419	144	199
420	144	199
421	144	198
422	145	197
423	145	197
424	145	196
425	145	196
426	145	195
427	146	195
428	146	194
429	146	194
430	146	193
431	146	193
432	147	192
433	147	192
434	147	191
435	147	191
436	147	190
437	148	189
438	148	189
439	148	188
440	148	188
441	148	187
442	148	187
443	149	186
444	149	186
445	149	185
446	149	185
447	149	184
448	150	184
449	150	183
450	150	183
451	150	182
452	150	182
453	151	181
454	151	181
455	151	180
456	151	180
457	151	179
458	152	179
459	152	178
460	152	178
461	152	177
462	152	177
463	153	176
464	153	176
465	153	175
466	153	175
467	153	174
468	154	174
469	154	173
470	154	173
471	154	173
472	154	172
473	155	172
474	155	171
475	155	171
476	155	170
477	155	170
478	155	169
479	156	169
480	156	168
481	156	168
482	156	167
483	156	167
484	157	166
485	157	166
486	157	165
487	157	165
488	157	165
489	158	164
490	158	164
491	158	163
492	158	163
493	158	162
494	159	162
495	159	161
496	159	161
497	159	160
498	159	160
499	160	160
500	160	159
501	160	159
502	160	158
503	160	158
504	161	157
505	161	157
506	161	157
507	161	156
508	161	156
509	162	155
510	162	155
511	162	154
512	162	154
513	162	153
514	163	153
515	163	153
516	163	152
517	163	152
518	163	151
519	164	151
520	164	151
521	164	150
522	164	150
523	164	149
524	165	149
525	165	148
526	165	148
527	165	148
528	165	147
529	166	147
530	166	146
531	166	146
532	166	145
533	166	145
534	166	145
535	167	144
536	167	144
537	167	143
538	167	143
539	167	143
540	168	142
541	168	142
542	169	142
543	169	141
544	169	141
545	169	141
546	169	140
547	170	140
548	170	139
549	170	139
550	170	139
551	170	138
552	171	138
553	171	137
554	171	137
555	171	137
556	171	136
557	172	136
558	172	135
559	172	135
560	172	135
561	172	134
562	173	134
563	173	134
564	173	133
565	173	133
566	174	132
567	174	132
568	174	132
569	174	131
570	174	131
571	174	130
572	175	130
573	175	130
574	175	129
575	175	129
576	176	129
577	176	128
578	176	128
579	176	127
580	176	127
581	177	127
582	177	126
583	177	126
584	177	126
585	177	125
586	178	125
587	178	124
588	178	124
589	178	124
590	178	123
591	179	123
592	179	122
593	179	122
594	179	122
595	179	121
596	179	121
597	180	121
598	180	120
599	180	120
600	180	119
601	180	119
602	181	119
603	181	118
604	181	118
605	181	118
606	181	117
607	182	117
608	182	117
609	182	116
610	182	116
611	182	116
612	183	115
613	183	115
614	183	114
615	183	114
616	183	114
617	184	113
618	184	113
619	184	113
620	184	112
621	184	112
622	185	112
623	185	111
624	185	111
625	185	110
626	185	110
627	186	110
628	186	109
629	186	109
630	186	109
631	186	108
632	187	108
633	187	108
634	187	107
635	187	107
636	187	107
637	188	106
638	188	106
639	188	105
640	188	105
641	188	105
642	188	104
643	189	104
644	189	104
645	189	103
646	189	103
647	189	103
648	190	102
649	190	102
650	190	102
651	190	101
652	190	101
653	191	101
654	191	100
655	191	100
656	191	100
657	191	99
658	192	99
659	192	99
660	192	98
661	192	98
662	192	98
663	193	97
664	193	97
665	193	97
666	193	96
667	193	96
668	193	95
669	194	95
670	194	95
671	194	94
672	194	94
673	194	94
674	195	93
675	195	93
676	195	93
677	195	92
678	195	92
679	196	92
680	196	91
681	196	91
682	196	91
683	196	90
684	197	90
685	197	90
686	197	89
687	197	89
688	197	89
689	198	88
690	198	88
691	198	88
692	198	88
693	198	87
694	199	87
695	199	87
696	199	86
697	199	86
698	199	86
699	200	85
700	200	85
701	200	85
702	200	84
703	200	84
704	201	84
705	201	83
706	201	83
707	201	83
708	201	82
709	201	82
710	202	82
711	202	81
712	202	81
713	202	81
714	202	80
715	203	80
716	203	80
717	203	79
718	203	79
719	203	79
720	204	78
721	204	78
722	204	78
723	204	78
724	204	77
725	205	77
726	205	77
727	205	76
728	205	76
729	205	76
730	206	75
731	206	75
732	206	75
733	206	74
734	206	74
735	207	74
736	207	73
737	207	73
738	207	73
739	207	73
740	207	72
741	208	72
742	208	72
743	208	71
744	208	71
745	208	71
746	209	70
747	209	70
748	209	70
749	209	69
750	209	69
751	210	69
752	210	68
753	210	68
754	210	68
755	210	68
756	211	67
757	211	67
758	211	67
759	211	66
760	211	66
761	212	66
762	212	65
763	212	65
764	212	65
765	212	65
766	212	64
767	213	64
768	213	64
769	213	63
770	213	63
771	213	63
772	214	62
773	214	62
774	214	62
775	214	61
776	214	61
777	215	61
778	215	61
779	215	60
780	215	60
781	215	60
782	216	59
783	216	59
784	216	59
785	216	58
786	216	58
787	217	58
788	217	58
789	217	57
790	217	57
791	217	57
792	218	56
793	218	56
794	218	56
795	218	56
796	218	55
797	219	55
798	219	55
799	219	54
800	219	54
801	219	54
802	220	53
803	220	53
804	220	53
805	220	53
806	220	52
807	221	52
808	221	52
809	221	51
810	221	51
811	221	51
812	221	51
813	222	50
814	222	50
815	222	50
816	222	49
817	222	49
818	223	49
819	223	49
820	223	48
821	223	48
822	223	48
823	224	47
824	224	47
825	224	47
826	224	47
827	224	46
828	225	46
829	225	46
830	225	45
831	225	45
832	225	45
833	226	44
834	226	44
835	226	44
836	226	44
837	226	43
838	227	43
839	227	43
840	227	42
841	227	42
842	227	42
843	227	42
844	228	41
845	228	41
846	228	41
847	228	41
848	228	40
849	229	40
850	229	40
851	229	39
852	229	39
853	229	39
854	230	39
855	230	38
856	230	38
857	230	38
858	230	37
859	231	37
860	231	37
861	231	37
862	231	36
863	231	36
864	231	36
865	232	35
866	232	35
867	232	35
868	232	35
869	232	34
870	233	34
871	233	34
872	233	33
873	233	33
874	233	33
875	234	33
876	234	32
877	234	32
878	234	32
879	234	32
880	235	31
881	235	31
882	235	31
883	235	30
884	235	30
885	236	30
886	236	30
887	236	29
888	236	29
889	236	29
890	237	28
891	237	28
892	237	28
893	237	28
894	237	27
895	237	27
896	238	27
897	238	27
898	238	26
899	238	26
900	238	26
901	239	25
902	239	25
903	239	25
904	239	25
905	239	24
906	240	24
907	240	24
908	240	24
909	240	23
910	240	23
911	241	23
912	241	22
913	241	22
914	241	22
915	241	22
916	241	21
917	242	21
918	242	21
919	242	21
920	242	20
921	242	20
922	243	20
923	243	20
924	243	19
925	243	19
926	243	19
927	244	18
928	244	18
929	244	18
930	244	18
931	244	17
932	245	17
933	245	17
934	245	17
935	245	16
936	245	16
937	246	16
938	246	15
939	246	15
940	246	15
941	246	15
942	246	14
943	247	14
944	247	14
945	247	14
946	247	13
947	247	13
948	248	13
949	248	13
950	248	12
951	248	12
952	248	12
953	249	12
954	249	11
955	249	11
956	249	11
957	249	10
958	250	10
959	250	10
960	250	10
961	250	9
962	250	9
963	251	9
964	251	9
965	251	8
966	251	8
967	251	8
968	252	8
969	252	7
970	252	7
971	252	7
972	252	7
973	253	6
974	253	6
975	253	6
976	253	5
977	253	5
978	254	5
979	254	5
980	254	4
981	254	4
982	254	4
983	255	4
984	255	3
985	255	3
986	255	3
987	255	3
988	256	2
989	256	2
990	256	2
991	256	2
992	256	1
993	256	1
994	257	1
995	257	1
996	257	0
997	257	0
998	257	0
999	258	0
