iter	Passed	Remaining
0	57	57717
1	58	28949
2	58	19358
3	58	14560
4	58	11680
5	58	9764
6	59	8393
7	59	7365
8	59	6566
9	59	5925
10	60	5400
11	60	4964
12	60	4597
13	60	4279
14	60	4004
15	61	3763
16	61	3552
17	61	3364
18	61	3195
19	62	3043
20	62	2906
21	62	2780
22	62	2666
23	62	2561
24	63	2465
25	63	2376
26	63	2294
27	63	2217
28	64	2146
29	64	2083
30	64	2021
31	64	1964
32	65	1910
33	65	1859
34	65	1810
35	65	1763
36	66	1736
37	66	1694
38	67	1654
39	67	1616
40	67	1580
41	67	1546
42	67	1513
43	68	1482
44	68	1452
45	68	1424
46	68	1396
47	69	1370
48	69	1345
49	69	1321
50	69	1297
51	69	1274
52	70	1253
53	70	1232
54	70	1212
55	70	1192
56	70	1174
57	71	1156
58	71	1139
59	71	1123
60	71	1108
61	72	1092
62	72	1077
63	72	1062
64	72	1048
65	73	1034
66	73	1020
67	73	1007
68	73	994
69	73	981
70	74	969
71	74	957
72	74	946
73	74	934
74	74	923
75	75	913
76	75	903
77	75	893
78	75	883
79	75	873
80	76	864
81	76	855
82	76	845
83	76	836
84	76	827
85	77	819
86	77	810
87	77	802
88	77	794
89	77	786
90	78	779
91	78	771
92	78	764
93	78	757
94	78	750
95	78	743
96	79	736
97	79	730
98	79	723
99	79	717
100	79	711
101	80	706
102	80	701
103	80	695
104	81	690
105	81	684
106	81	679
107	81	673
108	81	668
109	81	663
110	82	658
111	82	653
112	82	648
113	82	643
114	82	638
115	83	634
116	83	629
117	83	624
118	83	620
119	83	615
120	84	610
121	84	606
122	84	602
123	84	597
124	84	593
125	85	589
126	85	585
127	85	581
128	85	577
129	85	574
130	85	570
131	86	566
132	86	562
133	86	559
134	86	555
135	86	552
136	87	548
137	87	545
138	87	542
139	87	538
140	87	535
141	87	531
142	88	528
143	88	525
144	88	522
145	88	519
146	88	516
147	89	513
148	89	510
149	89	507
150	89	504
151	89	501
152	90	498
153	90	496
154	90	493
155	90	490
156	90	488
157	91	485
158	91	482
159	91	480
160	91	477
161	91	474
162	92	475
163	92	473
164	93	470
165	93	468
166	93	465
167	93	463
168	93	461
169	93	458
170	94	456
171	94	454
172	94	452
173	94	449
174	94	447
175	95	445
176	95	443
177	95	441
178	95	439
179	96	437
180	96	435
181	96	433
182	96	431
183	96	429
184	96	427
185	97	425
186	97	423
187	97	421
188	97	419
189	97	417
190	98	415
191	98	413
192	98	411
193	98	410
194	98	408
195	99	406
196	99	404
197	99	402
198	99	401
199	99	399
200	100	397
201	100	396
202	100	394
203	100	392
204	100	391
205	101	389
206	101	388
207	101	386
208	101	384
209	101	383
210	102	381
211	102	380
212	102	378
213	102	377
214	102	375
215	103	374
216	103	372
217	103	371
218	103	370
219	104	369
220	104	368
221	104	366
222	104	365
223	105	363
224	105	362
225	105	361
226	105	360
227	106	358
228	106	357
229	106	356
230	106	354
231	106	353
232	106	352
233	107	350
234	107	349
235	107	348
236	107	346
237	107	345
238	108	344
239	108	343
240	108	341
241	108	340
242	108	339
243	109	338
244	109	337
245	109	336
246	109	334
247	110	333
248	110	332
249	110	331
250	110	330
251	110	329
252	111	328
253	111	327
254	111	325
255	111	324
256	111	323
257	112	322
258	112	321
259	112	320
260	112	319
261	113	318
262	113	317
263	113	316
264	113	315
265	113	314
266	114	313
267	114	312
268	114	311
269	114	310
270	114	309
271	115	308
272	115	306
273	115	305
274	115	304
275	115	303
276	116	302
277	116	302
278	116	300
279	116	300
280	116	299
281	117	298
282	117	297
283	117	296
284	117	295
285	117	294
286	118	293
287	118	292
288	118	291
289	118	290
290	118	289
291	119	288
292	119	287
293	119	286
294	119	285
295	119	284
296	120	284
297	120	283
298	120	282
299	120	281
300	120	280
301	121	280
302	121	279
303	121	278
304	121	277
305	122	276
306	122	275
307	122	275
308	122	274
309	122	273
310	123	272
311	123	271
312	123	270
313	123	269
314	123	269
315	123	268
316	124	267
317	124	266
318	124	265
319	124	265
320	124	264
321	125	263
322	125	262
323	125	261
324	125	261
325	125	260
326	126	259
327	126	258
328	126	258
329	126	257
330	126	256
331	127	255
332	127	255
333	127	254
334	127	253
335	128	252
336	128	252
337	128	251
338	128	250
339	128	249
340	128	249
341	129	248
342	129	247
343	129	247
344	129	246
345	129	245
346	130	244
347	130	244
348	130	243
349	130	242
350	130	242
351	131	241
352	131	240
353	131	240
354	131	239
355	131	238
356	132	237
357	132	237
358	132	236
359	132	235
360	132	235
361	133	234
362	133	233
363	133	233
364	133	232
365	133	231
366	134	231
367	134	230
368	134	230
369	134	229
370	134	228
371	135	228
372	135	227
373	135	226
374	135	226
375	136	225
376	136	225
377	136	224
378	136	224
379	137	223
380	137	222
381	137	222
382	137	221
383	137	221
384	137	220
385	138	219
386	138	219
387	138	218
388	138	217
389	138	217
390	139	216
391	139	216
392	139	215
393	139	214
394	139	214
395	140	213
396	140	213
397	140	212
398	140	211
399	140	211
400	141	210
401	141	210
402	141	209
403	141	208
404	141	208
405	141	207
406	142	207
407	142	206
408	142	206
409	142	205
410	143	204
411	143	204
412	143	203
413	143	203
414	143	202
415	144	202
416	144	201
417	144	201
418	144	200
419	144	200
420	145	199
421	145	199
422	145	198
423	145	197
424	145	197
425	146	196
426	146	196
427	146	195
428	146	195
429	146	194
430	147	194
431	147	193
432	147	193
433	147	192
434	147	192
435	148	191
436	148	190
437	148	190
438	148	189
439	148	189
440	148	188
441	149	188
442	149	187
443	149	187
444	149	186
445	150	186
446	150	185
447	150	185
448	150	185
449	151	184
450	151	184
451	151	183
452	151	183
453	151	182
454	152	182
455	152	181
456	152	181
457	152	180
458	152	180
459	153	179
460	153	179
461	153	178
462	153	178
463	153	177
464	154	177
465	154	176
466	154	176
467	154	175
468	154	175
469	155	174
470	155	174
471	155	174
472	155	173
473	155	173
474	156	172
475	156	172
476	156	171
477	156	171
478	156	170
479	157	170
480	157	169
481	157	169
482	157	168
483	158	168
484	158	168
485	158	167
486	158	167
487	158	166
488	158	166
489	159	165
490	159	165
491	159	164
492	159	164
493	159	163
494	160	163
495	160	162
496	160	162
497	160	162
498	161	161
499	161	161
500	161	160
501	161	160
502	161	159
503	161	159
504	162	158
505	162	158
506	162	158
507	162	157
508	162	157
509	163	156
510	163	156
511	163	155
512	163	155
513	163	154
514	164	154
515	164	154
